,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1336,646890,Distant Nightmare - Virtual reality,2017-06-30 00:00:00,2200.0,6.0,6.0,Casual,0.0,0.0,Casual,1.0,0.0,0.0,,2 user reviews,single only,1.0,6.0,0.0,1,
1337,646910,The Crew™ 2,2018-06-29 00:00:00,55000.0,6.0,1.0,Action,0.0,34.0,Racing,14.0,0.0,1.0,very positive,very positive,single and multi,48706.0,11734.0,1896.8,12707,83.0
1338,646960,Three Twenty One,2017-07-01 00:00:00,0.0,5.0,5.0,Adventure,0.0,20.0,Adventure,1.0,0.0,1.0,,mixed,single only,22.0,22.0,,,20.8
1339,647000,RoBros,2017-05-20 00:00:00,0.0,6.0,6.0,Action,0.0,0.0,Free to Play,1.0,0.0,0.0,,mixed,single only,39.0,38.0,2.7,26,
1340,647040,Riaaf The Spider,2017-06-10 00:00:00,1100.0,6.0,6.0,Adventure,0.0,1260.0,Indie,2.0,0.0,0.0,,very positive,single only,119.0,22.0,,,89.5
1341,647050,Super Hardcore,2017-07-10 00:00:00,1100.0,6.0,6.0,Action,0.0,21.0,Strategy,1.0,0.0,0.0,,mixed,single only,16.0,20.0,0.0,7,60.2
1342,647080,Haunted Halls: Green Hills Sanitarium Collector's Edition,2017-07-13 00:00:00,10500.0,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,positive,single only,16.0,1.0,,,
1343,647090,Maestro: Music of Death Collector's Edition,2017-06-08 00:00:00,10500.0,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,7 user reviews,single only,8.0,0.0,,,
1344,647280,Pixel Shooter,2017-07-04 00:00:00,11000.0,6.0,6.0,Action,0.0,5.0,Side Scroller,1.0,0.0,0.0,,mostly negative,single only,55.0,104.0,,,60.7
1345,647500,Near Death Experience,2017-05-31 00:00:00,5500.0,6.0,6.0,Indie,0.0,0.0,Violent,1.0,0.0,0.0,,mixed,single only,19.0,9.0,,,
1346,647550,Living The Deal,,,6.0,6.0,Indie,0.0,0.0,Simulation,1.0,0.0,0.0,,no user reviews,single only,,,,,
