,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
100,1167630,1,Teardown,2022-04-21,22500.0,6,6,Action,1,27,Destruction,1,0,0,very positive,overwhelmingly positive,single only,43905,1904,2077.7,8221.0,19.5
101,1593500,1,God of War,2022-01-15,45800.0,1,1,Action,0,37,Action,18,0,0,overwhelmingly positive,overwhelmingly positive,single only,51395,1615,4147.4,73529.0,90.4
102,207610,1,The Walking Dead,2012-04-25,15500.0,6,3,Adventure,0,48,Zombies,5,0,1,overwhelmingly positive,overwhelmingly positive,single only,56197,1732,156.1,12067.0,83.5
103,500,1,Left 4 Dead,2008-11-17,10500.0,1,1,Action,0,73,Zombies,17,0,0,overwhelmingly positive,overwhelmingly positive,single only,40153,1607,632.6,2333.0,68.7
104,629730,1,Blade and Sorcery,2018-12-11,20500.0,5,5,Action,1,0,VR,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,31873,1157,955.8,10235.0,
105,35140,1,Batman: Arkham Asylum Game of the Year Edition,2010-03-27,21000.0,6,1,Action,0,47,Action,5,0,0,overwhelmingly positive,overwhelmingly positive,single only,41993,1578,574.5,6739.0,74.0
106,386940,1,Ultimate Chicken Horse,2016-03-05,15500.0,4,4,Action,0,31,Multiplayer,15,0,1,overwhelmingly positive,overwhelmingly positive,multi only,27729,1020,652.2,2705.0,75.9
107,413410,1,Danganronpa: Trigger Happy Havoc,2016-02-18,21000.0,2,2,Adventure,0,38,Anime,3,0,0,very positive,overwhelmingly positive,single only,22620,844,373.7,3374.0,84.7
108,557340,1,My Friend Pedro,2019-06-21,20500.0,1,1,Action,0,30,Action,10,1,1,very positive,overwhelmingly positive,single only,23424,967,54.2,6320.0,85.0
109,261030,1,The Walking Dead: Season Two,2013-12-18,15500.0,6,3,Adventure,0,40,Zombies,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,24981,1013,65.2,18433.0,88.3
110,413420,1,Danganronpa 2: Goodbye Despair,2016-04-19,21000.0,2,2,Adventure,0,47,Anime,3,0,0,very positive,overwhelmingly positive,single only,19577,708,387.8,1848.0,79.3
111,247080,1,Crypt of the NecroDancer,2015-04-24,16000.0,4,4,Action,0,44,Rhythm,11,0,1,very positive,overwhelmingly positive,single and multi,20793,854,177.8,2234.0,46.3
112,32440,1,LEGO® Star Wars™ - The Complete Saga,2009-11-13,20500.0,6,6,Adventure,0,0,LEGO,5,0,0,overwhelmingly positive,overwhelmingly positive,single only,18253,628,312.5,1933.0,
113,653530,1,Return of the Obra Dinn,2018-10-19,20500.0,2,2,Adventure,0,16,Detective,12,0,1,overwhelmingly positive,overwhelmingly positive,single only,16579,546,141.5,1220.0,62.2
114,1388880,1,Doki Doki Literature Club Plus!,2021-07-01,15500.0,6,4,Casual,0,19,Psychological Horror,12,0,1,overwhelmingly positive,overwhelmingly positive,single only,15743,539,168.0,6912.0,59.4
115,1127500,1,Mini Motorways,2021-07-20,10500.0,4,4,Casual,0,90,Casual,14,0,0,overwhelmingly positive,overwhelmingly positive,single only,13150,548,504.3,9914.0,98.6
116,1235140,1,Yakuza: Like a Dragon,2020-11-11,59800.0,6,1,Action,0,63,RPG,11,0,1,very positive,overwhelmingly positive,single only,16186,620,1308.1,9508.0,85.9
117,512900,1,Streets of Rogue,2019-07-13,20500.0,4,2,Action,0,52,Roguelite,8,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,15323,556,489.4,4265.0,83.3
118,1284190,1,The Planet Crafter,2022-03-25,20500.0,4,4,Adventure,1,23,Open World Survival Craft,10,0,0,overwhelmingly positive,overwhelmingly positive,single only,10819,414,1027.7,14237.0,93.8
119,335670,1,LISA: The Painful,2014-12-15,10500.0,4,4,Adventure,0,68,Dark Humor,1,0,1,overwhelmingly positive,overwhelmingly positive,single only,11847,459,31.1,1157.0,88.9
120,1127400,1,Mindustry,2019-09-27,6500.0,6,6,Strategy,0,54,Base Building,18,0,0,very positive,overwhelmingly positive,single and multi,11086,405,573.0,2676.0,80.2
121,287980,1,Mini Metro,2015-11-07,10500.0,4,4,Indie,0,63,Strategy,25,0,0,very positive,overwhelmingly positive,single only,12248,439,143.6,2101.0,77.2
122,456750,1,The Room Three,2018-11-13,6500.0,2,2,Adventure,0,10,Puzzle,8,0,0,very positive,overwhelmingly positive,single only,8064,291,100.8,1331.0,88.8
123,1948280,1,Stacklands,2022-04-09,5500.0,2,2,Casual,0,16,Card Battler,12,0,0,overwhelmingly positive,overwhelmingly positive,single only,7853,300,1685.2,5135.0,99.0
124,813630,1,Supraland,2019-04-05,20500.0,4,4,Action,0,98,Puzzle,16,0,1,very positive,overwhelmingly positive,single only,9310,435,114.6,1397.0,91.9
125,1182620,1,Impostor Factory,2021-10-01,10500.0,2,2,Adventure,0,0,Indie,12,0,1,overwhelmingly positive,overwhelmingly positive,single only,7491,278,18.3,1089.0,
